的	DE_0;DI_1;DI_4;DI_2;DI_0
服务质量	FU_2 WU_4 ZHI_4 LIANG_4
月工资	YUE_4 GONG_1 ZI_1
景观	JING_3 GUAN_1
易迅	YI_4 XUN_4
收工	SHOU_1 GONG_1
播音	BO_1 YIN_1
搬迁	BAN_1 QIAN_1
换掉	HUAN_4 DIAO_4
指数	ZHI_3 SHU_4
招行	ZHAO_1 HANG_2
抛开	PAO_1 KAI_1
抚顺	FU_3 SHUN_4
扶梯	FU_2 TI_1
打发	DA_3 FA_1;DA_3 FA_0
我什么都没有	WO_3 SHEN_2 ME_0 DOU_1 MEI_2 YOU_3
成正比	CHENG_2 ZHENG_4 BI_3
想有个家	XIANG_2 YOU_3 GE_4 JIA_1
想回家	XIANG_3 HUI_2 JIA_1
性子	XING_4 ZI_3;XING_4 ZI_0
忧心	YOU_1 XIN_1
心事	XIN_1 SHI_4
很早以前	HEN_2 ZAO_2 YI_3 QIAN_2;HEN_3 ZAO_3 YI_3 QIAN_2
彩铃	CAI_3 LING_2
强迫症	QIANG_3 PO_4 ZHENG_4
延长	YAN_2 CHANG_2
常用	CHANG_2 YONG_4
市桥	SHI_4 QIAO_2
少量	SHAO_3 LIANG_4
少数	SHAO_3 SHU_4
小金	XIAO_3 JIN_1
小熊	XIAO_3 XIONG_2
小惊喜	XIAO_3 JING_1 XI_3
小心眼	XIAO_3 XIN_1 YAN_3
小姑	XIAO_3 GU_1
宠物店	CHONG_3 WU_4 DIAN_4
实事求是	SHI_2 SHI_4 QIU_2 SHI_4
完蛋	WAN_2 DAN_4
安安稳稳	AN_1 AN_1 WEN_2 WEN_3;AN_1 AN_1 WEN_3 WEN_3
它们	TA_1 MEN_0
学而思	XUE_2 ER_2 SI_1
孤孤单单	GU_1 GU_1 DAN_1 DAN_1
夸大	KUA_1 DA_4
太冷	TAI_4 LENG_3
天对	TIAN_1 DUI_4
大王	DA_4 WANG_2;DAI_4 WANG_2;DAI_4 WANG_0
大庭广众	DA_4 TING_2 GUANG_3 ZHONG_4
外冷内热	WAI_4 LENG_3 NEI_4 RE_4
备考	BEI_4 KAO_3
四百多	SI_4 BAI_3 DUO_1
哪样	NA_3 YANG_4;NEI_3 YANG_4
可有可无	KE_2 YOU_2 KE_3 WU_2;KE_3 YOU_3 KE_3 WU_2
发红	FA_1 HONG_2
双手	SHUANG_1 SHOU_3
友好	YOU_2 HAO_3;YOU_3 HAO_3
厨	CHU_2
即墨	JI_4 MO_4;JI_2 MO_4
南下	NAN_2 XIA_4
协议书	XIE_2 YI_4 SHU_1
华强北	HUA_4 QIANG_2 BEI_3
华夏	HUA_2 XIA_4
华人	HUA_2 REN_2
半时	BAN_4 SHI_2
北辰	BEI_3 CHEN_2
劳累	LAO_2 LEI_4
分离	FEN_1 LI_2
分布	FEN_1 BU_4
兴业	XING_1 YE_4;XING_4 YE_4
六十四	LIU_4 SHI_2 SI_4;LIU_4 SHI_0 SI_4
公关	GONG_1 GUAN_1
全责	QUAN_2 ZE_2
党	DANG_3
像素	XIANG_4 SU_4
做空	ZUO_4 KONG_1
休养	XIU_1 YANG_3
代收	DAI_4 SHOU_1
人行	REN_2 XING_2
人形	REN_2 XING_2
享福	XIANG_3 FU_2
两百米	LIANG_3 BAI_3 MI_3
与其	YU_3 QI_2
不常	BU_4 CHANG_2
不善	BU_2 SHAN_4
上限	SHANG_4 XIAN_4
上收	SHANG_4 SHOU_1
三节	SAN_1 JIE_2
七情	QI_1 QING_2
一百米	YI_4 BAI_2 MI_3
一概	YI_2 GAI_4
黑户	HEI_1 HU_4
马马	MA_3 MA_3
马上又	MA_3 SHANG_4 YOU_4
额外收费	E_2 WAI_4 SHOU_1 FEI_4
顺着	SHUN_4 ZHE_0
韦	WEI_2
面馆	MIAN_4 GUAN_3
霸	BA_4
露出	LOU_4 CHU_1;LU_4 CHU_1
隔三差五	GE_2 SAN_1 CHA_4 WU_3
闻	WEN_2
间隔	JIAN_4 GE_2
金老	JIN_1 LAO_3
鄂州	E_4 ZHOU_1
选错	XUAN_3 CUO_4
近两天	JIN_4 LIANG_3 TIAN_1
辞掉	CI_2 DIAO_4
转行	ZHUAN_3 HANG_2
跳到	TIAO_4 DAO_4
路费	LU_4 FEI_4
贪图	TAN_1 TU_2
诉求	SU_4 QIU_2
证明自己	ZHENG_4 MING_2 ZI_4 JI_3
解冻	JIE_3 DONG_4
补录	BU_3 LU_4
行里	HANG_2 LI_3
蛋	DAN_4
落差	LUO_4 CHA_1;LUO_4 CHA_4
萍	PING_2
荣耀	RONG_2 YAO_4
茶楼	CHA_2 LOU_2
苏州市	SU_1 ZHOU_1 SHI_4
自来熟	ZI_4 LAI_2 SHU_2
脸蛋	LIAN_3 DAN_4
脱轨	TUO_1 GUI_3
能听懂	NENG_2 TING_1 DONG_3
胡歌	HU_2 GE_1
耗费	HAO_4 FEI_4
缘份	YUAN_2 FEN_4
绿的	LV_4 DE_0
绘画	HUI_4 HUA_4
精气神	JING_1 QI_4 SHEN_2
精品	JING_1 PIN_3
签单	QIAN_1 DAN_1
等你你	DENG_3 NI_3 NI_3
移民	YI_2 MIN_2
福州市	FU_2 ZHOU_1 SHI_4
磊	LEI_3
看成	KAN_4 CHENG_2
相见	XIANG_1 JIAN_4
相信自己	XIANG_1 XIN_4 ZI_4 JI_3
白酒	BAI_2 JIU_3
疯	FENG_1
界定	JIE_4 DING_4
甜蜜	TIAN_2 MI_4
琢磨	ZHUO_2 MO_2;ZUO_2 MO_0
现场会	XIAN_4 CHANG_3 HUI_4
现代	XIAN_4 DAI_4
玫瑰花	MEI_2 GUI_1 HUA_1
玩完	WAN_2 WAN_2
牵牵	QIAN_1 QIAN_1
焦虑	JIAO_1 LV_4
滴滴打车	DI_1 DI_1 DA_3 CHE_1
清爽型	QING_1 SHUANG_3 XING_2
淘	TAO_2
淋	LIN_1;LIN_4;LIN_2
洋洋	YANG_2 YANG_2
河北保定	HE_2 BEI_3 BAO_3 DING_4
来武	LAI_2 WU_3
有神	YOU_3 SHEN_2
有伤	YOU_3 SHANG_1
有个性	YOU_3 GE_4 XING_4
月经	YUE_4 JING_1
晨跑	CHEN_2 PAO_3
晨	CHEN_2
是夜	SHI_4 YE_4
改修	GAI_3 XIU_1
接机	JIE_1 JI_1
拖拖拉拉	TUO_1 TUO_1 LA_1 LA_1
抗	KANG_4
我喜欢你	WO_2 XI_3 HUAN_1 NI_3
感激	GAN_3 JI_1
患者	HUAN_4 ZHE_3
性格测试	XING_4 GE_2 CE_4 SHI_4
快乐的	KUAI_4 LE_4 DE_0
当班	DANG_1 BAN_1
张国立	ZHANG_1 GUO_2 LI_4
引荐	YIN_3 JIAN_4
开心就好	KAI_1 XIN_1 JIU_4 HAO_3
开张	KAI_1 ZHANG_1
广电	GUANG_3 DIAN_4
年金	NIAN_2 JIN_1
工程设计	GONG_1 CHENG_2 SHE_4 JI_4
工商局	GONG_1 SHANG_1 JU_2
岁差	SUI_4 CHA_4
屁	PI_4
尽管	JIN_2 GUAN_3;JIN_3 GUAN_3
小文	XIAO_3 WEN_2
小任	XIAO_3 REN_4
寿	SHOU_4
对付	DUI_4 FU_4
家伙	JIA_1 HUO_0
客房	KE_4 FANG_2
安于现状	AN_1 YU_2 XIAN_4 ZHUANG_4
学科	XUE_2 KE_1
媳妇儿	XI_2 FU_4 ER_2;XI_2 FU_4 ER_0
娟	JUAN_1
大型企业	DA_4 XING_2 QI_3 YE_4
夜市	YE_4 SHI_4
培	PEI_2
地板	DI_4 BAN_3
在美	ZAI_4 MEI_3
吸收	XI_1 SHOU_1
吉利	JI_2 LI_4;JI_2 LI_0
司里	SI_1 LI_3
双鱼座	SHUANG_1 YU_2 ZUO_4
双语	SHUANG_1 YU_3
即可	JI_2 KE_3
十多二十	SHI_2 DUO_1 ER_4 SHI_2
出众	CHU_1 ZHONG_4
冒充	MAO_4 CHONG_1
先尝	XIAN_1 CHANG_2
充充	CHONG_1 CHONG_1
元龙	YUAN_2 LONG_2
佣金	YONG_4 JIN_1
代课	DAI_4 KE_4
什么态度	SHEN_2 ME_0 TAI_4 DU_4
井	JING_3
五环	WU_3 HUAN_2
五十六	WU_3 SHI_2 LIU_4;WU_3 SHI_0 LIU_4
五两	WU_2 LIANG_3
二十二三	ER_4 SHI_2 ER_4 SAN_1
买不到	MAI_3 BU_2 DAO_4
习惯性	XI_2 GUAN_4 XING_4
乐嘉	LE_4 JIA_1
之余	ZHI_1 YU_2
中选	ZHONG_4 XUAN_3
中资	ZHONG_1 ZI_1
中新	ZHONG_1 XIN_1
两台	LIANG_3 TAI_2
东海	DONG_1 HAI_3
不一一	BU_4 YI_1 YI_1
上架	SHANG_4 JIA_4
三千多块	SAN_1 QIAN_1 DUO_1 KUAI_4
万科	WAN_4 KE_1
一点红	YI_4 DIAN_3 HONG_2
一年前	YI_4 NIAN_2 QIAN_2
一如	YI_4 RU_2
鼓浪屿	GU_3 LANG_4 YU_3
高高瘦瘦	GAO_1 GAO_1 SHOU_4 SHOU_4
骨头	GU_3 TOU_0
首都	SHOU_3 DU_1
项链	XIANG_4 LIAN_4
金牛座	JIN_1 NIU_2 ZUO_4
金安	JIN_1 AN_1
邮局	YOU_2 JU_2
那些年	NA_4 XIE_1 NIAN_2
那些个	NEI_4 XIE_1 GE_4
逻辑思维	LUO_2 JI_2 SI_1 WEI_2;LUO_2 JI_0 SI_1 WEI_2
违章	WEI_2 ZHANG_1
进价	JIN_4 JIA_4
辨别	BIAN_4 BIE_2
跟你走	GEN_1 NI_2 ZOU_3
财务总监	CAI_2 WU_4 ZONG_3 JIAN_1
课件	KE_4 JIAN_4
试验	SHI_4 YAN_4
角落	JIAO_3 LUO_4
见解	JIAN_4 JIE_3
表述	BIAO_3 SHU_4
范畴	FAN_4 CHOU_2
花花肠子	HUA_1 HUA_1 CHANG_2 ZI_3;HUA_1 HUA_1 CHANG_2 ZI_0
膜	MO_2
美白	MEI_3 BAI_2
绵阳	MIAN_2 YANG_2
绩	JI_4
素材	SU_4 CAI_2
石岐	SHI_2 QI_2
短信息	DUAN_3 XIN_4 XI_1
睡睡	SHUI_4 SHUI_4
眉山	MEI_2 SHAN_1
直线	ZHI_2 XIAN_4
目目	MU_4 MU_4
目的地	MU_4 DI_4 DI_4
略	LVE_4
申报	SHEN_1 BAO_4
用不着	YONG_4 BU_0 ZHAO_2
用上	YONG_4 SHANG_4
理所当然	LI_2 SUO_3 DANG_1 RAN_2;LI_3 SUO_3 DANG_1 RAN_2
独特	DU_2 TE_4
爱情啊	AI_4 QING_2 A_0
照片儿	ZHAO_4 PIAN_1 ER_2;ZHAO_4 PIAN_1 ER_0
焦	JIAO_1
热水	RE_4 SHUI_3
满意度	MAN_3 YI_4 DU_4
混乱	HUN_4 LUAN_4
河沟	HE_2 GOU_1
没底	MEI_2 DI_3
正点	ZHENG_4 DIAN_3
模板	MO_2 BAN_3;MU_2 BAN_3
楼上的	LOU_2 SHANG_4 DE_0
柏	BAI_3;BO_4;BO_2
未接	WEI_4 JIE_1
有着	YOU_3 ZHE_0
时刻	SHI_2 KE_4
新兴	XIN_1 XING_1
斗	DOU_4;DOU_3;DOU_0
教育局	JIAO_4 YU_4 JU_2
收件	SHOU_1 JIAN_4
摄像	SHE_4 XIANG_4
捞	LAO_1
按月	AN_4 YUE_4
指引	ZHI_2 YIN_3;ZHI_3 YIN_3
拿起	NA_2 QI_3
拉拉	LA_1 LA_1
抬头不见低头见	TAI_2 TOU_2 BU_2 JIAN_4 DI_1 TOU_2 JIAN_4
把头	BA_3 TOU_2
扰	RAO_3
扣扣	KOU_4 KOU_4
懂懂	DONG_3 DONG_3
忌口	JI_4 KOU_3
心机	XIN_1 JI_1
德阳	DE_2 YANG_2
往事	WANG_3 SHI_4
当上	DANG_1 SHANG_4
开时	KAI_1 SHI_2
廉价	LIAN_2 JIA_4
年轻有为	NIAN_2 QING_1 YOU_3 WEI_2
平顶山	PING_2 DING_3 SHAN_1
希尔顿	XI_1 ER_3 DUN_4
巴兰	BA_1 LAN_2
左手	ZUO_2 SHOU_3;ZUO_3 SHOU_3
山庄	SHAN_1 ZHUANG_1
山东省	SHAN_1 DONG_1 SHENG_3
屋子	WU_1 ZI_3;WU_1 ZI_0
尽心	JIN_4 XIN_1
小鸡	XIAO_3 JI_1
小玉	XIAO_3 YU_4
小城市	XIAO_3 CHENG_2 SHI_4
家用	JIA_1 YONG_4
实有	SHI_2 YOU_3
宁缺勿滥	NING_4 QUE_1 WU_4 LAN_4
天天天天	TIAN_1 TIAN_1 TIAN_1 TIAN_1
大半辈子	DA_4 BAN_4 BEI_4 ZI_3
境	JING_4
坑坑洼洼	KENG_1 KENG_1 WA_1 WA_1
因此	YIN_1 CI_3
嘉实	JIA_1 SHI_2
咸	XIAN_2
和爱	HE_2 AI_4
咋整	ZA_3 ZHENG_3
发展性	FA_1 ZHAN_3 XING_4
去病	QU_4 BING_4
原来如此	YUAN_2 LAI_2 RU_2 CI_3
印刷	YIN_4 SHUA_1
南部	NAN_2 BU_4
单排	DAN_1 PAI_2
千岛湖	QIAN_1 DAO_3 HU_2
北京海淀	BEI_3 JING_1 HAI_3 DIAN_4
北京北京	BEI_3 JING_1 BEI_3 JING_1
副总	FU_4 ZONG_3
利落	LI_4 LUO_4;LI_4 LUO_0
刚办	GANG_1 BAN_4
分好	FEN_1 HAO_3
出国旅游	CHU_1 GUO_2 LV_3 YOU_2
冠	GUAN_1;GUAN_4;GUAN_0
关上	GUAN_1 SHANG_4;GUAN_1 SHANG_0
公路	GONG_1 LU_4
八卦	BA_1 GUA_4
全身心	QUAN_2 SHEN_1 XIN_1
光宇国际	GUANG_1 YU_3 GUO_2 JI_4
信箱	XIN_4 XIANG_1
保密性	BAO_3 MI_4 XING_4
例	LI_4
作假	ZUO_4 JIA_3
何来	HE_2 LAI_2
优优	YOU_1 YOU_1
付给	FU_4 GEI_3
付清	FU_4 QING_1
人不知	REN_2 BU_4 ZHI_1
五中	WU_3 ZHONG_1
二目	ER_4 MU_4
争议	ZHENG_1 YI_4
买买买	MAI_2 MAI_2 MAI_3
中奖	ZHONG_4 JIANG_3
不时	BU_4 SHI_2
不外	BU_2 WAI_4
不复	BU_2 FU_4
下人	XIA_4 REN_2
上提	SHANG_4 TI_2
七星	QI_1 XING_1
一百八	YI_1 BAI_3 BA_1
一心一意	YI_4 XIN_1 YI_2 YI_4
黄黄	HUANG_2 HUANG_2
鸡蛋	JI_1 DAN_4
鲁	LU_3
高工	GAO_1 GONG_1
驿站	YI_4 ZHAN_4
阐述	CHAN_3 SHU_4
镜头	JING_4 TOU_2
错那	CUO_4 NA_4
钟头	ZHONG_1 TOU_2
那几年	NA_4 JI_3 NIAN_2
遥远	YAO_2 YUAN_3
返程	FAN_3 CHENG_2
过问	GUO_4 WEN_4
迁移	QIAN_1 YI_2
轮到	LUN_2 DAO_4
转换	ZHUAN_3 HUAN_4
路林	LU_4 LIN_2
趁现在	CHEN_4 XIAN_4 ZAI_4
赶来	GAN_3 LAI_2
说不过去	SHUO_1 BU_2 GUO_4 QU_4;SHUO_1 BU_0 GUO_4 QU_4
讲来	JIANG_3 LAI_2
记着	JI_4 ZHE_0
规划师	GUI_1 HUA_4 SHI_1
要之	YAO_4 ZHI_1
西边	XI_1 BIAN_1;XI_1 BIAN_0
裕	YU_4
薄弱	BO_2 RUO_4
董先	DONG_3 XIAN_1
艺术照	YI_4 SHU_4 ZHAO_4
能高	NENG_2 GAO_1
联盟	LIAN_2 MENG_2
职称	ZHI_2 CHENG_1
考大学	KAO_3 DA_4 XUE_2
老二	LAO_3 ER_4
缩小	SUO_1 XIAO_3
简阳	JIAN_3 YANG_2
答题	DA_2 TI_2
第六	DI_4 LIU_4
第一张	DI_4 YI_1 ZHANG_1
童装	TONG_2 ZHUANG_1
秋天	QIU_1 TIAN_1
石狮子	SHI_2 SHI_1 ZI_0
看做	KAN_4 ZUO_4;KAN_4 ZUO_0
直来直去	ZHI_2 LAI_2 ZHI_2 QU_4
白话	BAI_2 HUA_4
疼老婆	TENG_2 LAO_3 PO_2
男女比例	NAN_2 NV_3 BI_3 LI_4
申申	SHEN_1 SHEN_1
生态	SHENG_1 TAI_4
火爆	HUO_3 BAO_4
海景	HAI_2 JING_3
流水线	LIU_2 SHUI_3 XIAN_4
泸州	LU_2 ZHOU_1
泰山	TAI_4 SHAN_1
沉淀	CHEN_2 DIAN_4
毁	HUI_3
村子	CUN_1 ZI_3;CUN_1 ZI_0
李大	LI_3 DA_4
杂志	ZA_2 ZHI_4
朱女	ZHU_1 NV_3
最好不过	ZUI_4 HAO_3 BU_2 GUO_4
早睡	ZAO_3 SHUI_4
旅馆	LV_2 GUAN_3;LV_3 GUAN_3
新卡	XIN_1 KA_3
教会	JIAO_4 HUI_4
搜出	SOU_1 CHU_1
指点	ZHI_2 DIAN_3;ZHI_3 DIAN_3
抠	KOU_1
技术部	JI_4 SHU_4 BU_4
我是你的	WO_3 SHI_4 NI_3 DE_0
想家	XIANG_3 JIA_1
心结	XIN_1 JIE_2
很爽	HEN_3 SHUANG_3
弹钢琴	TAN_2 GANG_1 QIN_2
开直	KAI_1 ZHI_2
开机	KAI_1 JI_1
市长	SHI_4 ZHANG_3
工会	GONG_1 HUI_4
少来	SHAO_3 LAI_2
小花	XIAO_3 HUA_1
小林老师	XIAO_3 LIN_2 LAO_3 SHI_1
小日子	XIAO_3 RI_4 ZI_3;XIAO_3 RI_4 ZI_0
小小孩	XIAO_2 XIAO_3 HAI_2
小宁	XIAO_3 NING_2
小圈子	XIAO_3 QUAN_1 ZI_0
对得起	DUI_4 DE_0 QI_3
宿州	SU_4 ZHOU_1
实诚	SHI_2 CHENG_2
完善自己	WAN_2 SHAN_4 ZI_4 JI_3
完全免费	WAN_2 QUAN_2 MIAN_3 FEI_4
娇	JIAO_1
如因	RU_2 YIN_1
好起来	HAO_2 QI_3 LAI_2;HAO_2 QI_3 LAI_0
好客	HAO_4 KE_4
好人家	HAO_3 REN_2 JIA_1;HAO_3 REN_2 JIA_0
失约	SHI_1 YUE_1
太虚	TAI_4 XU_1
大朗	DA_4 LANG_3
夜里	YE_4 LI_3;YE_4 LI_0
外网	WAI_4 WANG_3
外债	WAI_4 ZHAI_4
坦洲	TAN_3 ZHOU_1
坐席	ZUO_4 XI_2
均	JUN_1
国经	GUO_2 JING_1
噪音	ZAO_4 YIN_1
哎呀哎呀	AI_1 YA_1 AI_1 YA_1
品德	PIN_3 DE_2
呼呼	HU_1 HU_1
各类	GE_4 LEI_4
吃也	CHI_1 YE_3
台上	TAI_2 SHANG_4;TAI_2 SHANG_0
发现自己	FA_1 XIAN_4 ZI_4 JI_3
县里	XIAN_4 LI_3
卸	XIE_4
南郊	NAN_2 JIAO_1
包裹	BAO_1 GUO_3
加深	JIA_1 SHEN_1
力度	LI_4 DU_4;LI_4 DU_0
别生气	BIE_2 SHENG_1 QI_4
判断能力	PAN_4 DUAN_4 NENG_2 LI_4
初始	CHU_1 SHI_3
创新	CHUANG_4 XIN_1
分时	FEN_1 SHI_2
出货	CHU_1 HUO_4
出外	CHU_1 WAI_4
冰冰	BING_1 BING_1
农安	NONG_2 AN_1
再遇	ZAI_4 YU_4
八十九	BA_1 SHI_2 JIU_3;BA_1 SHI_0 JIU_3
全国连锁	QUAN_2 GUO_2 LIAN_2 SUO_3
全价	QUAN_2 JIA_4
借鉴	JIE_4 JIAN_4;JIE_4 JIAN_0
借贷	JIE_4 DAI_4
促成	CU_4 CHENG_2
依	YI_1
会计师	KUAI_4 JI_4 SHI_1
人民医院	REN_2 MIN_2 YI_1 YUAN_4
人体	REN_2 TI_3
人事部	REN_2 SHI_4 BU_4
亲密	QIN_1 MI_4
事实上	SHI_4 SHI_2 SHANG_4
乙方	YI_3 FANG_1
中学教师	ZHONG_1 XUE_2 JIAO_4 SHI_1
中下	ZHONG_1 XIA_4
不清不楚	BU_4 QING_1 BU_4 CHU_3
下走	XIA_4 ZOU_3
下学期	XIA_4 XUE_2 QI_1
上公	SHANG_4 GONG_1
三十五分	SAN_1 SHI_2 WU_3 FEN_1
七千多	QI_1 QIAN_1 DUO_1
一区	YI_4 QU_1
一个劲	YI_2 GE_4 JIN_4;YI_2 GE_0 JIN_4
高薪	GAO_1 XIN_1
马尾	MA_2 WEI_3;MA_3 WEI_3
食物	SHI_2 WU_4;SHI_2 WU_0
风趣	FENG_1 QU_4
领带	LING_3 DAI_4
青睐	QING_1 LAI_4
隔着	GE_2 ZHE_0
镇海	ZHEN_4 HAI_3
金牛	JIN_1 NIU_2
金格	JIN_1 GE_2
酒庄	JIU_3 ZHUANG_1
酒席	JIU_3 XI_2
郝	HAO_3
送来	SONG_4 LAI_2
退货	TUI_4 HUO_4
运动会	YUN_4 DONG_4 HUI_4
过目	GUO_4 MU_4
贵州贵阳	GUI_4 ZHOU_1 GUI_4 YANG_2
货源	HUO_4 YUAN_2
豆	DOU_4
说口	SHUO_1 KOU_3
语速	YU_3 SU_4
详详细细	XIANG_2 XIANG_2 XI_4 XI_4
规章制度	GUI_1 ZHANG_1 ZHI_4 DU_4
萝卜白菜	LUO_2 BO_0 BAI_2 CAI_4
获	HUO_4
艺	YI_4
脱衣	TUO_1 YI_1
胡子	HU_2 ZI_3;HU_2 ZI_0
肺炎	FEI_4 YAN_2
肥胖	FEI_2 PANG_4
红木	HONG_2 MU_4
糊涂	HU_2 TU_2;HU_2 TU_0
站起来	ZHAN_4 QI_3 LAI_2
突破	TU_1 PO_4
稳当	WEN_3 DANG_1;WEN_3 DANG_0
福州人	FU_2 ZHOU_1 REN_2
社交软件	SHE_4 JIAO_1 RUAN_3 JIAN_4
知冷知热	ZHI_1 LENG_3 ZHI_1 RE_4
电车	DIAN_4 CHE_1
生还	SHENG_1 HUAN_2
物料	WU_4 LIAO_4
物品	WU_4 PIN_3
滤镜	LV_4 JING_4
港湾	GANG_3 WAN_1
海海	HAI_2 HAI_3
浅	JIAN_1;QIAN_3
注定	ZHU_4 DING_4
没劲	MEI_2 JIN_4
沈河	SHEN_3 HE_2
江苏徐州	JIANG_1 SU_1 XU_2 ZHOU_1
段新	DUAN_4 XIN_1
歪	WAI_1;WAI_0
正宗	ZHENG_4 ZONG_1
歌词	GE_1 CI_2
横县	HENG_2 XIAN_4
椰子	YE_1 ZI_3;YE_1 ZI_0
桌	ZHUO_1
某种	MOU_2 ZHONG_3;MOU_3 ZHONG_3
本都	BEN_3 DOU_1
朝朝	ZHAO_1 ZHAO_1
朋友关系	PENG_2 YOU_3 GUAN_1 XI_4
有清	YOU_3 QING_1
暖心	NUAN_3 XIN_1
景德镇	JING_3 DE_2 ZHEN_4
明码标价	MING_2 MA_3 BIAO_1 JIA_4
早期	ZAO_3 QI_1
整容	ZHENG_3 RONG_2
放弃你	FANG_4 QI_4 NI_3
撂	LIAO_4
搭建	DA_1 JIAN_4
推后	TUI_1 HOU_4
接起	JIE_1 QI_3
接回来	JIE_1 HUI_2 LAI_2
探讨	TAN_4 TAO_3
换人	HUAN_4 REN_2
抹	MA_1;MO_4;MO_3
把门	BA_3 MEN_2
扣掉	KOU_4 DIAO_4
托福	TUO_1 FU_2
我慢	WO_3 MAN_4
慈善	CI_2 SHAN_4
意思意思	YI_4 SI_1 YI_4 SI_1
总机	ZONG_3 JI_1
怀柔	HUAI_2 ROU_2
张文	ZHANG_1 WEN_2
年轻化	NIAN_2 QING_1 HUA_4
带起	DAI_4 QI_3
崇州	CHONG_2 ZHOU_1
居民	JU_1 MIN_2
就餐	JIU_4 CAN_1
小蛮腰	XIAO_3 MAN_2 YAO_1
小明	XIAO_3 MING_2
小帅	XIAO_3 SHUAI_4
小可爱	XIAO_2 KE_3 AI_4
家的味道	JIA_1 DE_0 WEI_4 DAO_4
家姑	JIA_1 GU_1
审核部	SHEN_3 HE_2 BU_4
学位证书	XUE_2 WEI_4 ZHENG_4 SHU_1
嫌小	XIAN_2 XIAO_3
婚姻幸福	HUN_1 YIN_1 XING_4 FU_2
妥当	TUO_3 DANG_4;TUO_3 DANG_0
好姑娘	HAO_3 GU_1 NIANG_2
奥维斯	AO_4 WEI_2 SI_1
太宅	TAI_4 ZHAI_2
太古	TAI_4 GU_3
太原市	TAI_4 YUAN_2 SHI_4
天门	TIAN_1 MEN_2
天中	TIAN_1 ZHONG_1
大男	DA_4 NAN_2
大宝	DA_4 BAO_3
够用	GOU_4 YONG_4
多方	DUO_1 FANG_1
声明	SHENG_1 MING_2
墓	MU_4
城镇	CHENG_2 ZHEN_4
国道	GUO_2 DAO_4
回合	HUI_2 HE_2
吹牛	CHUI_1 NIU_2
后果	HOU_4 GUO_3
后推	HOU_4 TUI_1
发觉	FA_1 JUE_2
发行	FA_1 XING_2
反思	FAN_3 SI_1
友邦	YOU_3 BANG_1
原理	YUAN_2 LI_3
却说	QUE_4 SHUO_1
卡号	KA_3 HAO_4
千八	QIAN_1 BA_1
十来二十	SHI_2 LAI_2 ER_4 SHI_2
十大	SHI_2 DA_4
十三点	SHI_2 SAN_1 DIAN_3
北区	BEI_3 QU_1
加多	JIA_1 DUO_1
刘大	LIU_2 DA_4
划分	HUA_4 FEN_1
切换	QIE_1 HUAN_4
分明	FEN_1 MING_2
分割	FEN_1 GE_1
准点	ZHUN_2 DIAN_3;ZHUN_3 DIAN_3
再成	ZAI_4 CHENG_2
公正	GONG_1 ZHENG_4
保本	BAO_2 BEN_3;BAO_3 BEN_3
你记得吗	NI_3 JI_4 DE_0 MA_0
人手	REN_2 SHOU_3
交纳	JIAO_1 NA_4
习惯你	XI_2 GUAN_4 NI_3
中出	ZHONG_1 CHU_1
不登	BU_4 DENG_1
下家	XIA_4 JIA_1
三角	SAN_1 JIAO_3
三十位	SAN_1 SHI_2 WEI_4
三七	SAN_1 QI_1
一阵子	YI_2 ZHEN_4 ZI_3;YI_2 ZHEN_4 ZI_0
一般性	YI_4 BAN_1 XING_4
一家子	YI_4 JIA_1 ZI_3;YI_4 JIA_1 ZI_0
一个人的生活	YI_2 GE_4 REN_2 DE_0 SHENG_1 HUO_2
默默	MO_4 MO_4
高姐	GAO_1 JIE_3
高中生	GAO_1 ZHONG_1 SHENG_1
饺子	JIAO_3 ZI_0
风声	FENG_1 SHENG_1
靠不住	KAO_4 BU_2 ZHU_4;KAO_4 BU_0 ZHU_4
银杯	YIN_2 BEI_1
重量	ZHONG_4 LIANG_4
酒会	JIU_3 HUI_4
道一	DAO_4 YI_1
逃避	TAO_2 BI_4
这种爱	ZHE_4 ZHONG_3 AI_4
转告	ZHUAN_3 GAO_4
足球	ZU_2 QIU_2
财务管理	CAI_2 WU_4 GUAN_2 LI_3;CAI_2 WU_4 GUAN_3 LI_3
财产安全	CAI_2 CHAN_3 AN_1 QUAN_2
证号	ZHENG_4 HAO_4
设计类	SHE_4 JI_4 LEI_4
表哥	BIAO_3 GE_1
落地	LUO_4 DI_4
茫茫人海	MANG_2 MANG_2 REN_2 HAI_3
艺术类	YI_4 SHU_4 LEI_4
至今	ZHI_4 JIN_1
脆弱	CUI_4 RUO_4
税费	SHUI_4 FEI_4
瞪	DENG_1;DENG_4
看客	KAN_4 KE_4
的夏	DE_0 XIA_4
白领阶层	BAI_2 LING_3 JIE_1 CENG_2
白花	BAI_2 HUA_1
瘦瘦的	SHOU_4 SHOU_4 DE_0
病情	BING_4 QING_2
琐碎	SUO_3 SUI_4;SUO_3 SUI_0
猎头	LIE_4 TOU_2
灞桥	BA_4 QIAO_2
潜在	QIAN_2 ZAI_4
漫游	MAN_4 YOU_2
湖南省	HU_2 NAN_2 SHENG_3
消除	XIAO_1 CHU_2
浙江大学	ZHE_4 JIANG_1 DA_4 XUE_2
洪先	HONG_2 XIAN_1
波动	BO_1 DONG_4
正大	ZHENG_4 DA_4
植物	ZHI_2 WU_4
